id,ItemDescription,Diagnosis,PreventiveFlag
24,Emma:  Blood Pressure Vet HDO,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
25,Jordan:  Exam  / Consultation,eye infection ,0
26,Jordan:  Fluoroscein Stain of Cornea,eye infection ,0
27,Jordan:  Tobrex 0.3% 5mL  DIN 00513962,eye infection ,0
28,Cooper Tru50:  Doxycycline 20mg Tablet,Cough This is the first time we have treated this patient. The complete medical records have been sent to priority@trupanion.com,0
29,Cooper Tru50:  Fenbendazol(Panacur)222mg/gGran(p#D,Cough This is the first time we have treated this patient. The complete medical records have been sent to priority@trupanion.com,0
30,Cooper Tru50:  SChem/CBC/UA/T4 (AT - SA705),Cough This is the first time we have treated this patient. The complete medical records have been sent to priority@trupanion.com,0
31,"Cooper Tru50:  Heartworm Antibody, Feline (AT - T6",Cough This is the first time we have treated this patient. The complete medical records have been sent to priority@trupanion.com,0
32,Cooper Tru50:  Radiograph Three Views,Cough This is the first time we have treated this patient. The complete medical records have been sent to priority@trupanion.com,0
33,Cooper Tru50:  Radiograph - Radiologist Review,Cough This is the first time we have treated this patient. The complete medical records have been sent to priority@trupanion.com,0
34,Jay Dub:  Chemistry Profile w/CBC,mass between eyes ,0
35,"Jay Dub:  PT/APTT, Abaxis",mass between eyes ,0
36,Jay Dub:  Sub-Q Fluids  >250 mls,mass between eyes ,0
37,Jay Dub:  Cephalexin 500mg,mass between eyes ,0
38,Jay Dub:  Emergency / Exam Fee,mass between eyes ,0
39,Jay Dub:  X-Ray-Additional view,mass between eyes ,0
40,Jay Dub:  Buprenorphine 0.6mg/cc 0010,mass between eyes ,0
41,Jay Dub:  Neo Poly Dex  Ointment,mass between eyes ,0
42,Jay Dub:  X-Ray Film - 2 views,mass between eyes ,0
43,Jeffrey:  MEDICAL CONSULTATION xxxx,dermatitis ,0
44,Jeffrey:  OSHA COMPLIANT BIOHAZARD FEE cvv fv  1ll,dermatitis ,0
45,Jeffrey:  Depo-Medrol inj 20mg/ml              tdt,dermatitis ,0
46,Jeffrey:  F Hypoallergenic Duck 8.8# d/d,dermatitis ,0
47,Jeffrey:  RABIES FELINE 1 YEAR BOOSTER fvv     tdt,dermatitis ,0
48,RAPHAEL:  Canine Rabies Booster 3 year,Lyme Postive test ,1
49,Reese:  Canine D/D Potato & Salmon 8lbs,Exam & Anal Sac Expression ,0
50,Reese:  Nail Trim,Exam & Anal Sac Expression ,0
51,Reese:  Office Call - Drop off,Exam & Anal Sac Expression ,0
52,Reese:  Anal Sacs Expression,Exam & Anal Sac Expression ,0
53,Reese:  Bordetella Oral - Annual,Exam & Anal Sac Expression ,1
54,BERT:  RCC GASTRO HIGH ENERGY CANS,VOMITING ,0
55,BERT:  RAD-ABDOMINAL SERIES,VOMITING ,0
56,Ajax:  TYLAN-50gm **,tear staining ,0
57,Lucy-Ella:  Office Visit,suspect atopy vs food allergy ,0
58,Lily:  Annual Wellness Exam,Ears ,0
59,Lily:  Bordetella Intranasal Vaccine,Ears ,0
60,Lily:  Canaural 15ml,Ears ,0
61,Lily:  Parvo Vaccine,Ears ,0
62,Lily:  Ear Swab and Cytology,Ears ,0
63,"Kitten:  wound clip and clean,",Wound Infection  ,0
64,Kitten:  PD Feline i/d Bag 4 lb,Wound Infection  ,0
65,Kitten:  Avena Sativa Cleansing Wipes,Wound Infection  ,0
66,Kitten:  PVD FORTIFLORA FELINE,Wound Infection  ,0
67,Kitten:  PD Feline i/d GI Chicken&Vegetable 2.9oz,Wound Infection  ,0
68,Kitten:  Examination/Consultation,Wound Infection  ,0
69,Kitten:  Clavamox Drops Bottle/15 ml,Wound Infection  ,0
70,Kitten:  OPP - fecal Ova & Parasite with Elisa,Wound Infection  ,0
71,Lucy:  Pill Pockets K9 Peanut Butter 90g,UTI ,0
72,Lucy:  Clavaseptin 50mg Chewable Tablets,UTI ,0
73,Lucy:  Full Urinalysis (collection in hospital),UTI ,0
74,Lucy:  Examination/Consultation,UTI ,0
75,Paisley:  Exam/Consultation   Medical Condition,Abnormal Urination ,0
76,Paisley:  Urinalysis Complete IHLAB,Abnormal Urination ,0
77,Katie:  Cytology 1 Site Idexx 2801,Cervical IVDD/R/o cancer ,0
78,Katie:  Medical Waste (Hazardous Disposal),Cervical IVDD/R/o cancer ,0
79,Katie:  Perio Support 4.2 oz,Cervical IVDD/R/o cancer ,0
80,Katie:  Proviable-Forte 45 Caps,Cervical IVDD/R/o cancer ,0
81,Katie:  Acupuncture Follow Up Visits,Cervical IVDD/R/o cancer ,0
82,Katie:  Fine Needle Aspirate FNA (In House),Cervical IVDD/R/o cancer ,0
83,Katie:  Acupuncture Follow Up Visits,Cervical IVDD ,0
84,Katie:  Mometamax Ointment 15g,Cervical IVDD ,0
85,Katie:  Clip Nails add on  w/Visit,Cervical IVDD ,0
86,Katie:  Duralactin K9 Chews #180,Cervical IVDD ,0
87,Katie:  FortiFlora K9 (1 box = 30 packets),Cervical IVDD ,0
88,Dakoda:  PPVD Essential Care Puppy 3.6kg 22473,Diarrhea ,0
89,Dakoda:  Exam/Consultation    Well Patient,Diarrhea ,0
90,Coco Chanel:  Bordetella Vacc 6mo Booster,Pododermatitis ,1
91,Coco Chanel:  Examination / Consultation,Pododermatitis ,0
92,Coco Chanel:  NexGard M 10 - 24 # #29971,Pododermatitis ,1
93,Coco Chanel:  Intestinal Parasites Examination,Pododermatitis ,1
94,Oberon:  Induction of vomiting,Ingested a silicone packet ,0
95,Oberon:  Comprehensive Illness Exam,Ingested a silicone packet ,0
96,Gabanna:  Cytology (Initial Sample) CYTO,Skin Mass ,0
97,Gabanna:  Exam/Consultation  Recheck (within 30 da,Skin Mass ,0
98,Baloo:  FortiFlora Feline Per Packet,Diarrhea ,0
99,Baloo:  Metronidazole 50 mg Per Tab,Diarrhea ,0
100,Baloo:  Fecal Ova/Parasites/Giardia - IDEXX,Diarrhea ,0
101,Baloo:  Examination Regular,Diarrhea ,0
102,Baloo:  Gram Stain In House,Diarrhea ,0
103,Bella Brandy :  CADI (Cytopoint) 60.1-80lb OPINJ,anal glands ,0
104,Bella Brandy :  Influenza H3N8/H3N2 Vaccine K9 1yr,anal glands ,1
105,Bella Brandy :  Fecal O&PCmb T808 1yr,anal glands ,1
106,Bella Brandy :  Exam/Consultation CareClub,anal glands ,0
107,Bella Brandy :  Borrelia (Lyme) Vaccine 1yr,anal glands ,1
108,Bella Brandy :  Anal Sacs Expressed w/ Exam,anal glands ,0
109,Jatgeirr:  Phytovet PS Ear Cleaning Solution 8 oz,Otitis please call with any questions ,0
110,Jatgeirr:  Otibiotic 15 gm,Otitis please call with any questions ,0
111,KODA:  LAXATONE TUNA FLAVOUR,BLOOD IN STOOL ,0
112,KODA:  OFFICE CONSULT / EXAMINATION,BLOOD IN STOOL ,0
113,KODA:  PVD CANINE EN CANS,BLOOD IN STOOL ,0
114,Ellie:  PROVIABLE-DC,Abnormal stool ,0
115,Ellie:  Advantix Dog Up To 10lbs,Abnormal stool ,1
116,Ellie:  Fecal Exam,Abnormal stool ,0
117,Ellie:  Office Visit 1,Abnormal stool ,0
118,Laddie:  Diphenhydramine Inj. 50mg/ml,Uveitis ,0
119,Laddie:  Examination - Comprehensive Physical ,Uveitis ,0
120,Laddie:  Clavamox 125mg chew tabs 10 pack,Uveitis ,0
121,Laddie:  Pill Pockets Allergy Formula Duck & Pea,Uveitis ,0
122,Laddie:  Neo/Poly/Dex Ophth Solution,Uveitis ,0
123,Evo:  Exam/Consultation   Medical Condition,Limping ,0
124,Evo:  Rovera (Carprofen) 25mg Cw Tab DISPMED,Limping ,0
125,Evo:  Exam/Consultation   Medical Condition,Eye ,0
126,Evo:  Schirmer Tear Test/Fluorescein Dye STT / FDT,Eye ,0
127,Evo:  Heartgard Plus K9 S 1-25lb/1-11kg 6Pk DISPME,Eye ,1
128,Evo:  CET Enzymatic Toothpaste Malt 70g CET102,Eye ,0
129,Evo:  NeoPolyDex (gen) OphS 5mL DISPMED,Eye ,0
130,Toby:  Prednisone 20mg ,RX: Prednisone/Metronidazole/Dasuqin/Movoflex RX: I/D lowfat stew and Pill Pockets ,0
131,Toby:  Metronidazole 500mg,RX: Prednisone/Metronidazole/Dasuqin/Movoflex RX: I/D lowfat stew and Pill Pockets ,0
132,Toby:  Prescription Canine i/d LowFat Stew 12oz,RX: Prednisone/Metronidazole/Dasuqin/Movoflex RX: I/D lowfat stew and Pill Pockets ,0
133,Toby:  Dasuquin Advanced +60lbs  Soft chews,RX: Prednisone/Metronidazole/Dasuqin/Movoflex RX: I/D lowfat stew and Pill Pockets ,0
134,Toby:  Movoflex 60ct 40-80lbs,RX: Prednisone/Metronidazole/Dasuqin/Movoflex RX: I/D lowfat stew and Pill Pockets ,0
135,Toby:  Pill Pockets - Peanut Butter Large,RX: Prednisone/Metronidazole/Dasuqin/Movoflex RX: I/D lowfat stew and Pill Pockets ,0
136,Moss:  Canine Exam,Diarrhea ,0
137,Moss:  Metronidazole  -  250mg,Diarrhea ,0
138,Moss:  Fortiflora Canine - Packets,Diarrhea ,0
139,Millie:  Metronidazole Tab 250mg,diarrhea ,0
140,Millie:  Exam with Vaccines - Puppy ,diarrhea ,1
141,Millie:  Propectalin Antidiarrhea Tabs,diarrhea ,0
142,Millie:  Albon Oral Suspension 5% per ounce,diarrhea ,0
143,Docinho:  Office Call/Walk-In or Urgent Care,Eye and Skin issues ,0
144,Docinho:  Simparica - 5.6-11 lbs / Dose (Purple),Eye and Skin issues ,0
145,"Docinho:  KETO-C Wipes, 50count",Eye and Skin issues ,0
146,Docinho:  Tobramycin Ophth. Solution 0.3% 5mL,Eye and Skin issues ,0
147,Docinho:  Biomedical Waste Disposal - Office Call,Eye and Skin issues ,0
148,Docinho:  Fungal Culture,Eye and Skin issues ,0
149,Docinho:  Cytology In House,Eye and Skin issues ,0
150,Malachi:  Metoclopramide  10mg,urinary/incontinence  ,0
151,Malachi:  Proin 25mg,urinary/incontinence  ,0
152,Malachi:  Zonisamide Level - Idexx,urinary/incontinence  ,0
153,Malachi:  Zonisamide 50mg,urinary/incontinence  ,0
154,Buttercup:  Annual Wellness Exam,Ears No charge for the ear recheck- $31 is for the ear cytology ,0
155,Lily:  Recheck Ear Exam and Cytology,Ears No charge for the ear recheck- $31 is for the ear cytology ,0
156,Buttercup:  Bordetella Intranasal Vaccine,Ears No charge for the ear recheck- $31 is for the ear cytology ,0
157,Buttercup:  DA2PP 1yr Vaccine,Ears No charge for the ear recheck- $31 is for the ear cytology ,0
158,Buttercup:  Canine 3yr Rabies Vaccine,Ears No charge for the ear recheck- $31 is for the ear cytology ,0
159,Daphne:  Office Visit - Sick or Injured Pet,vomiting/diarrhea ,0
160,Kori:  Exam Brief (1-2 system),Acute Diarrhea ,0
161,Kori:  GI Healthpack - Royal Canin (large),Acute Diarrhea ,0
162,Kori:  Metronidazole 250 Mg,Acute Diarrhea ,0
163,Kori:  Cerenia 10mg/ml injection,Acute Diarrhea ,0
164,Kori:  Out-of-Plan Health Wellness Discount,Acute Diarrhea ,0
165,Chloe:  Comprehensive Illness Exam,Increaed thirst &urination ,0
166,Chloe:  Inj CYTOPOINT/ CADI,Increaed thirst &urination ,0
167,Gigi:  Heartworm Antigen Test - Antech,Not eating well ,1
168,Gigi:  Examination / Consultation,Not eating well ,0
169,Gigi:  Intestinal Parasites Examination,Not eating well ,1
170,Dexter:  EXAMINATION,HOT SPOT ON BACK ,0
171,Dexter:  CLIP AND CLEAN WOUND,HOT SPOT ON BACK ,0
172,Dexter:  Douxo Chlorhex/Clinbaz Mousse   6.8 oz,HOT SPOT ON BACK ,0
173,"Mango:  Liver Profile w/CBC, Chem GCV9",recheck liver ,0
174,Mango:  Exam/Consultation CareClub,recheck liver ,0
175,Mango:  Fecal O&PCmb T808 1yr,recheck liver ,1
176,Mango:  Gabapentin (gen) 100mg Cap DISPCHR,recheck liver ,0
177,Maverick:  Office Visit - Sick/Injured Exam,lethargy  ,0
178,GINGER:  NeoPolyBac (gen) OphO 3.5g DISPMED,ABRASION UNDER LEFT EYE ,0
179,GINGER:  Exam/Consultation   Medical Condition,ABRASION UNDER LEFT EYE ,0
180,Baloo:  Feline i/d Hills Can 5.5oz,Diarrhea Diet the doctor had prescribed due to diarrhea,0
181,Baloo:  Feline i/d Hills 4lbs/1.82kg,Diarrhea Diet the doctor had prescribed due to diarrhea,0
182,Jack:  Radiograph 1st exposure,Limping on left leg ,0
183,Jack:  Physical Exam,Limping on left leg ,0
184,Jack:  Antisedan Injection,Limping on left leg ,0
185,Jack:  Carprovet 75 mg flavored tab,Limping on left leg ,0
186,Jack:  Cephalexin 250 mg,Limping on left leg ,0
187,Jack:  Dexdomitor Injection,Limping on left leg ,0
188,"Jack:  Radiograph, Additional View",Limping on left leg ,0
189,Jack:  RADIOLOGY CONSULT ,Limping on left leg ,0
190,Jack:  Biohazard Disposal Fee,Limping on left leg ,0
191,Mia:  Amoxi Suspension 250mg/5ml 100ml,Upper Respiratory  ,0
192,Mihijo:  Profile - Vetscan Diag Plus/CBC In-House,vomiting  ,0
193,Mihijo:  Discount: Exam - Consultation,vomiting  ,0
194,Mihijo:  Discount: Profile - Vetscan Diag Plus/CBC,vomiting  ,0
195,Mihijo:  Discount: Fluid Therapy - SQ,vomiting  ,0
196,Mihijo:  Inj - Cerenia,vomiting  ,0
197,Mihijo:  Fluid Therapy - SQ,vomiting  ,0
198,Mihijo:  Discount: Inj - Cerenia,vomiting  ,0
199,Mihijo:  Exam - Consultation,vomiting  ,0
200,Mihijo:  Royal Canin GI Low Fat LF K9 canned,vomiting  ,0
201,Levi:  Injection Polyflex PER CC,Patient bothered by ears ,0
202,Levi:  Ear Cleaning,Patient bothered by ears ,0
203,Levi:  Injection Rimadyl PER CC,Patient bothered by ears ,0
204,Levi:  Examination/ Office Visit,Patient bothered by ears ,0
205,Levi:  Ear Smear Exam,Patient bothered by ears ,0
206,Levi:  Animax/ Entederm 15 ml,Patient bothered by ears ,0
207,Levi:  Rimadyl (Carprofen) Chewable 75mg,Patient bothered by ears ,0
208,Levi:  Simplicef 200 mg,Patient bothered by ears ,0
209,Levi:  Sedation ( Dexdomitor/antisedan),Patient bothered by ears ,0
210,Sales Tax,Patient bothered by ears ,0
211,Levi:  Cerenia Inj 50-75 lbs,Patient bothered by ears ,0
212,Woohoo:  Isoflurane For Growth Removal,growth removal and extractions  ,0
213,Woohoo:  Sterile Surgical Instrument Pack,growth removal and extractions  ,0
214,Woohoo:  Growth Removal per 10 minutes,growth removal and extractions  ,0
215,Woohoo:  Histopathology,growth removal and extractions  ,0
216,Lena:  Vitamin B12 1000mcg/ml Injection  per ML,Diarrhea ,0
217,Lena:  Fecal Parasite Test repeat 6 mo Out T805,Diarrhea ,0
218,Lena:  Canine I/D 8.5 #,Diarrhea ,0
219,Lena:  Exam - Comprehensive Appointment,Diarrhea ,0
220,Lena:  FortiFlora K9  box of 30 packets,Diarrhea ,0
221,Lena:  Metronidazole 250mg,Diarrhea ,0
222,Lena:  Cerenia 10mg/ml Injection  per ml (INV),Diarrhea ,0
223,Duke:  Ear Cleaning,Ear infection  ,0
224,Duke:  Rabies 1 yr,Ear infection  ,1
225,Duke:  Physical Examination,Ear infection  ,0
226,Duke:  Canine DA2PP Puppy 3,Ear infection  ,1
227,Duke:  MOMETAMAX otic suspension 15g,Ear infection  ,0
228,Koa:  Nail Trim K9 Med/Large Dog >16kg,"exam, vaccines, cytology  ",0
229,Moss:  Canine Exam - Recheck/Brief,Diarrhea ,0
230,Moss:  CVH - cPL add on,Diarrhea ,0
231,Moss:  Blood Collection,Diarrhea ,0
232,Moss:  Interceptor Plus 11.4-22.7kg (Yellow),Diarrhea ,1
233,Moss:  Amoxil  -  500mg,Diarrhea ,0
234,Moss:  Cerenia Inj  /ml,Diarrhea ,0
235,Moss:  Cerenia  -  60mg,Diarrhea ,0
236,Moss:  Radiology - set up & first series ,Diarrhea ,0
237,Princesa:  Exam/Consultation   Medical Condition,lethargy/not eating/ear infection ,0
238,Sassy:  Exam Emergency After Close,Diarrhea ,0
239,Nala:  In Clinic Cytology,Ear Infection  ,0
240,Nala:  Examination,Ear Infection  ,0
241,Nala:  Canaural Ear Drops 15 ml,Ear Infection  ,0
242,Riley:  ADEQUAN INJ. PER EACH ML.,Ear infection ,0
243,Riley:  ROYAL CANIN K9 RENAL T 13.5 oz,Ear infection ,0
244,Riley:  Trikos 200 mg Tincture,Ear infection ,0
245,Riley:  BORDETELLA (ANTICOUGH VACCINE),Ear infection ,1
246,Riley:  HEARTGARD + K-9 0-25# (BLUE),Ear infection ,1
247,Riley:  ROYAL CANIN K9 URINARY SO CANS,Ear infection ,0
248,Riley:  Osurnia ear medication tube,Ear infection ,0
249,Riley:  NexGard 10-24 lb 6 dose pack,Ear infection ,1
250,Diva:  Injection Fee 2,Respitory infection and Ataxia ,0
251,Diva:  Convenia,Respitory infection and Ataxia ,0
252,Diva:  Bath Feline,Respitory infection and Ataxia ,0
253,Smidge:  Comprehensive Physical Exam,Abdominal Pain/Possible Foreign Body ,0
254,Smidge:  SQ Fluids Feline/Small Dog,Abdominal Pain/Possible Foreign Body ,0
255,Everest:  Metacam 1.5 mg/ml Oral DIN 02237715,Pain Medication- back right leg ,0
256,Everest:  CONSULTATION,Pain Medication- back right leg ,0
257,Everest:  Tramadol 200mg Cap DIN4611,Pain Medication- back right leg ,0
258,Molly:  EXAMINATION NEW PATIENT,lens opacity ,0
259,Molly:  Tonometry Reading,lens opacity ,0
260,Molly:  Prednisolone Acetate 1% 10 ml  (ratio),lens opacity ,0
261,Molly:  EYE FLUORESCEIN STAIN,lens opacity ,0
262,Molly:  SCHIRMER TEAR TEST,lens opacity ,0
263,Rooney:  Preventative Care Profile,exam for weight gain ,0
264,Lyric:  Exam - Brief  OR   Recheck,Droopy eye ,0
265,Lyric:  Artificial Tears Solution,Droopy eye ,0
266,Lyric:  Neo-Poly-Dex ointment (3.5 g) ,Droopy eye ,0
267,Princess:  Medical/Problem Exam ,Posssible Foreign Body in Throat ,0
268,Princess:  Carprofen 75mg (Post-Op),Posssible Foreign Body in Throat ,0
269,Princess:  Cerenia 10mg/ml Injectable,Posssible Foreign Body in Throat ,0
270,Hopper:  AccuPlex4 (HWAg Ehrlich Anapl Lyme) AC100,back injury ,1
271,Hopper:  Exam/Consultation   Medical Condition,back injury ,0
272,Hopper:  Meloxicam (Metacam) 1.5mg/mL/1mL DISPMED,back injury ,0
273,Brody:  Exam/Consultation Cardiology,Irregular heartbeat ,0
274,Brody:  Echocardiogram,Irregular heartbeat ,0
275,Brody:  ECG Lead II,Irregular heartbeat ,0
276,Angie:  SQ (subcutaneous) Fluids,diarrhea  ,0
277,Angie:  Fecal Ova+Parasite w/ Giardia T808 24639,diarrhea  ,0
278,Angie:  Tylan Powder 13 Dram,diarrhea  ,0
279,Angie:  Examination - Sick/Problem/Consult,diarrhea  ,0
280,Seco:  VetScan Comprehensive Diagnostic Profile+CB,Diabetes ,0
281,Seco:  Miscellaneous Professional Service,Diabetes ,0
282,Seco:  UltiGuard U100 29x0.5cc w/ Sharp Container,Diabetes ,0
283,Seco:  Marbofloxacin (Zeniquin) 100mg Tab DISPMED,Diabetes ,0
284,Seco:  PD w/d K9 13oz Cs 7017,Diabetes ,0
285,Seco:  Maropitant (Cerenia) 160mg Tab 4pk DISPMED,Diabetes ,0
286,Seco:  Insulin NPH (Humulin N) U100 10mL DISPMED,Diabetes ,0
287,Seco:  Cortisol (2) ACTH Stimulation T440 ACTH2,Cushings ,0
288,Seco:  Cosyntropin (Cortrosyn) 0.25mg/mL/mL IHINJ,Cushings ,0
289,Seco:  Glucose Via Glucometer IHLAB,Cushings ,0
290,Seco:  Glucose Via Glucometer IHLAB,Cushings ,0
291,Seco:  Glucose Via Glucometer IHLAB,Cushings ,0
292,Seco:  Glucose Via Glucometer IHLAB,Cushings ,0
293,Seco:  Insulin Regular (Humulin R) U100/unit IHINJ,Cushings ,0
294,Seco:  Marbofloxacin (Zeniquin) 100mg Tab DISPMED,Cushings ,0
295,Coco Chanel:  Fluids Dentistry,Periodontal Dz ,0
296,Coco Chanel:  Extract Resorptive Lesion/Crown Ampu,Periodontal Dz ,0
297,Coco Chanel:  HOSP Dental,Periodontal Dz ,0
298,Coco Chanel:  Block Dental/quadrant,Periodontal Dz ,0
299,Coco Chanel:  Pain Management Dentistry,Periodontal Dz ,0
300,Coco Chanel:  Extract Premolar/Molar 1 Root Rtn,Periodontal Dz ,0
301,Coco Chanel:  Meloxicam (Metacam) Fe 0.5mg/mL/3mL ,Periodontal Dz ,0
302,Coco Chanel:  Milbemax 16mg (>2kg) Flavor Coated T,Periodontal Dz ,1
303,Coco Chanel:  DENTAL Evaluation+Clean Rtn Fe,Periodontal Dz ,0
304,Coco Chanel:  Anesthesia Dentistry,Periodontal Dz ,0
305,Coco Chanel:  RAD Full Mouth Dental Xray Feline,Periodontal Dz ,0
306,Prince:  Examination/Office Call,Diarrhea ,0
307,Prince:  Proviable-Forte blister pack of 15 caps,Diarrhea ,0
308,Prince:  Metronidazole 50 mg,Diarrhea ,0
309,Prince:  Anal Glands Expressed,Diarrhea ,0
310,Prince:  Fecal Float/Giardia/Reflex Whipworms,Diarrhea ,0
311,Prince:  Tylocin 375mg/1/2tsp w/Pet Tabs - 13dr,Diarrhea ,0
312,Prince:  Hills Canine I/D Low Fat GI Restore Can,Diarrhea ,0
313,Yogi:  Examination,Back Pain Suspected ,0
314,Yogi:  Radiograph Digital 3 Views,Back Pain Suspected ,0
315,Yogi:  Laser Therapy - Single Treatment,Back Pain Suspected ,0
316,Yogi:  Adequan Injection,Back Pain Suspected ,0
317,Yogi:  Gabapentin 250mg/5ml Suspension,Back Pain Suspected ,0
318,Yogi:  Regulated Medical Waste Disposal Fee,Back Pain Suspected ,0
319,Yogi:  Antacid Injection - Famotidine,Back Pain Suspected ,0
320,Stella:  Fecal O&PCmb T808 1yr,Diarrhea ,0
321,Stella:  Metronidazole (gen) 250mg Tab DISPMED,Diarrhea ,0
322,Stella:  PPVD EN Gastroenteric K9 6lb 13854,Diarrhea ,0
323,Stella:  PPVD EN Gastroenteric K9 13.4oz Cn 15934,Diarrhea ,0
324,Stella:  Exam/Consultation   Medical Condition,Diarrhea ,0
325,Stella:  Fenbendazole (Panacur) Susp 10%/mL DISPME,Diarrhea ,0
326,Stella:  YGIA-14 Probiotic 3.5g K9 <10kg DISPMED,Diarrhea ,0
327,Chewie:  Meloxicam (Metacam) K9 1.5mg/mL/10mL DISP,blood work and pain meds for fractured deciduous tooth. ,0
328,Chewie:  VetScan Prep Profile II Elective Procedur,blood work and pain meds for fractured deciduous tooth. ,0
329,Atari:  Examination/Consultation,"post emerge check, check eye ",0
330,Atari:  Fluorescein Eye Stain,"post emerge check, check eye ",0
331,Atari:  Tobradex Drops 5mL,"post emerge check, check eye ",0
332,Lily:  Exam Emergency Regular Hours,possible foreign body ,0
333,Pattie La Belle:  US Guided Cystocentesis,pre op bloodwork ,0
334,Pattie La Belle:  TBF UA SA705,pre op bloodwork ,0
335,Chanel:  EXAM MINOR OFFICE CONSULTATION,"HISTORY: Has emptied her AG a few times, usually when left alone so likely got anxious. Also itchy again but responded well to Apoquel when she was on it.   PHYSICAL EXAMINATION:   Body Score:        3.5 / 5 Goal weight = 33kg Clean eyes, ears. Minimal tartar only. Heart and lungs ok.  HR=126 Abdominal palpation normal. Skin and coat healthy but pruritus present.   PLAN:      DIET RECOMMENDATION: Suspect atopy over food allergies but could still try hypoallergenic diet and/or referral to dermatologist. Ok to refill Apoquel as needed, should start at BID until better, then SID ongoing, and off label at EOD if still effective enough. AG - full R>L, liquid, easily expressed BA - IN 1 yr   DIAGNOSIS:  Atopic Dermatitis, Overweight, Dental disease Grade I     PRESCRIPTION(S): Apoquel 16 mg  - 1 PO BID for 7-14 days, then SID ongoing. -MD ",0
