PreventiveFlag,CombinedText
1,Skipper:  Medical Waste Level 1 | Undescended testicles/periodontal disease 
1,Skipper:  Leptospira Vaccination | Undescended testicles/periodontal disease 
1,Skipper:  Canine Flu H3N2 | Undescended testicles/periodontal disease 
1,Skipper:  AD Schem/cbc/t4= | Undescended testicles/periodontal disease 
1,Skipper:  Lyme Vaccination | Undescended testicles/periodontal disease 
1,Spike :  Ear cleaning Bi-lateral  | vomitting  
1,Linda:  AC CBC SA600 | ears and bump on lip 
1,Emma:  Influenza Vaccine - Nobivac K9 | Tick on body 
1,Emma:  Lepto Vaccine | Tick on body 
1,Emma:  Bravecto 44.1 - 88lb single dose (blue) | Tick on body 
1,Riley:  Combo - 4dx Heartworm Test | liver profile for monitoring on Denamarin  Cryo
1,Riley:  Canine Distemper 3yr | liver profile for monitoring on Denamarin  Cryo
1,"Riley:  Lyme Disease, Initial | liver profile for monitoring on Denamarin  Cryo"
1,Winston:  Canine Vaccination | CCR 
1,Bailey:  Dolpac 10 (Tabs) (+DF) | Cartrophen & Rx Diet 
1,Frankie:  DA2P  Vaccine 3yr | Skin and ear infection 
1,Frankie:  Fecal O&PCmb T808 1yr | Skin and ear infection 
1,Frankie:  Parvo Vaccine 3yr | Skin and ear infection 
1,Lucy:  Canine Puppy DHPP booster 2 of 2 | Conjunctivitis - BNP H ointment  
1,Lucy:  Drontal Plus 68.0 mg | Conjunctivitis - BNP H ointment  
1,Frosty:  Safe Guard 10% Suspension | Giardia  
1,Chubbs:  Interceptor Plus 25.1-50# single | Respiratory Issues 
1,Sal:  Interceptor Plus | 50-100 lbs | Single | tech visit for snap test 
1,Sal:  Metronidazole 250 mg | tech visit for snap test 
1,Sal:  Panacur (51lb-100lb) Dose per day | tech visit for snap test 
1,Sal:  SNAP 4DX (HW/E. Canis/Anap./Lyme) | tech visit for snap test 
1,Romeo:  RABIES VACCINATION (1 year reminder) | scratching ears 
1,Marlowe:  RABIES CANINE 3 YEAR BOOSTER cvv     tdt | Atopy  
1,CHARLIE:  Nexgard K9 Prpl Lg 24.1-60lb/11-27.3kg 3 | fleas 
1,"Georgie:  Nexgard 10-24lbs 6pk | recheck cough, further diagnostics for diagnosis, follow up with protien in urine.  "
1,"Georgie:  Heartgard Plus Blue 6m (<25lbs) | recheck cough, further diagnostics for diagnosis, follow up with protien in urine.  "
1,Indy:  Leptospirosis -- 1 Year | Otitis AU SINGLE UNIT ITEM = pharmacy filling fee
1,"Mochi:  Spectrum Chew 08.1-25lbs Green 6pk | Ocular Discharge, Mild Redness "
1,"Mochi:  Bordetella Intra-nasal | Ocular Discharge, Mild Redness "
1,"Mochi:  Tick Tapeworm Treatment - Int'l Travel | Ocular Discharge, Mild Redness "
1,"Mochi:  Parastar 4-22lbs 3pk Orange | Ocular Discharge, Mild Redness "
1,Cartman:  ComboGuard 40.1-60lb 6pk DISPMED | Allergies 
1,STANLEY:  LEPTOSPIROSIS VACCINE#2(ANNUAL) | OTITIS externa 
1,Hally:  Fecal Intestinal Parasite Screen | Parisites  
1,Hally:  Heartgard Green 12 - 22kg | Parisites  
1,Hally:  Fecal Intestinal Parasite Screen Prepaid | Parisites  
1,Robby:  DA2P-Pv  Vaccine 4wk | Bronchitis  
1,Robby:  Fecal O&P T805 1yr | Bronchitis  
1,"Jack:  Leptospirosis 1 Year Vaccination | ulcerated dermal mass, periodontal diaease Wellness Bundle - Labs are for pre-op due to problems notes above.  Bundle break down as follows.  Exam $59.00.  HWT $40.00.  OP&G $52.50.  Senior Profile w/ Urine c/s $226.50."
1,"Jack:  Bordetella Intranasal Vaccination | ulcerated dermal mass, periodontal diaease Wellness Bundle - Labs are for pre-op due to problems notes above.  Bundle break down as follows.  Exam $59.00.  HWT $40.00.  OP&G $52.50.  Senior Profile w/ Urine c/s $226.50."
1,Finn:  Fecal Ova and Parasite | Skin Mass 
1,Finn:  Sentinel Canine 11 - 25lbs - PER DOSE | Skin Mass 
1,PENELOPE:  Bordetella Intranasal Vaccine 6mo | recheck 
1,PENELOPE:  Influenza H3N8/H3N2 Vaccine K9 1yr | recheck 
1,Daisy:  Imrab 3 | Diarrhea  
1,Daisy:  Nobivac 1 DAPPv | Diarrhea  
1,Daisy:  Bronchi-Shield Oral (Bordetella) | Diarrhea  
1,Paxton:  Antech Lab Ova/Parasites | Lumpectomy 
1,"Ollie:  Canine Flu Combo Promo Package | Mucous in Stool, Pruritis "
1,"Ollie:  Bordetella, Booster (Injectable) | Dietary Indiscretion "
1,Sabrina:  DA2P-Pv  Vaccine 1yr | Rectal irritation  
1,Sabrina:  Rabies Vaccine 1yr Canine | Rectal irritation  
1,Sabrina:  CareClub Puppy/Kitten Deworming (Pick Li | Rectal irritation  
1,Maverick:  IDEXX FECAL Ova and Parasites with G | SKIN EXAMINATION 
1,Sawyer:  Krillex Shed Free Chews 60ct | digital laceration & gastrointestinal food 
1,Sawyer:  Pet Tabs  60ct | digital laceration & gastrointestinal food 
1,Bowie:  IDX Fecal Panel (Standard) | bw follow up after had worms 
1,Chewy:  Lyme Disease 1 year Booster | Giardia Antigen POSITIVE  
1,Poppy:  Interceptor + Green Heartworm 8.1-25 lbs | Alopecia 
1,Poppy:  Leptospirosis Vaccination | Alopecia 
1,Poppy:  Leptospirosis DAPP Vaccination | Alopecia 
1,Tucker:  Interceptor Plus 50.1-100lb/22.8-45.4kg 6 | Lameness 
1,Walter:  Bravecto | Green 22-44 lbs Single Pack | Hypersalivating 
1,Walter:  Interceptor 26-50 lbs Yellow | Hypersalivating 
1,Rex:  Bordetella Intranasal Vaccine 1yr | Wellness 
1,Rex:  Leptospira 4Serovar Vaccine 1yr | Wellness 
1,Mati:  LEPTOSPIROSIS BOOSTER | Right front lameness 
1,Halley:  DrontalPlusCanine136 mg Rx | Scratch near eye 
1,Halley:  Injection Proheart 6  61-90 lb | Scratch near eye 
1,Scrappy:  UBAVET Powermeg 250ml | on going liver medication 
1,Chloe:  Leptovax 4 - Initial | itchy ears 
1,Chloe:  DHPP Vaccine - Second | itchy ears 
1,Chloe:  Canine Cough Syndrome Vacc (IN) | itchy ears 
1,Dash:  Heartgard+ Brown (51-100lbs)-6 mos | limping 
1,Dash:  Bravecto Tablet >44.1-88 lb | limping 
1,"Dash:  Heartgard+ Brown (51-100lbs)-6 mos | Anus Anxiety, Inflammation, Body Score 3"
1,"Dash:  Bravecto Tablet >44.1-88 lb | Anus Anxiety, Inflammation, Body Score 3"
1,Ripley:  Interceptor Plus 8.1- 25lb/ Each | Excessive vomiting 
1,Bitty:  PrazPyr (Drontal) Fel Tab DISPMED | Infection 
1,Layla:  DAPP Vaccine #2 | Recheck urinary tract infection 
1,Rosie:  Da2pp Annual (1 Year) | ongoing care-giardia treatment 
1,Rosie:  Discount: Da2pp Annual (1 Year) | ongoing care-giardia treatment 
1,Rosie:  Discount: Bordetella Vir.(Intranasal) | ongoing care-giardia treatment 
1,Rosie:  Bordetella Vir.(Intranasal) | ongoing care-giardia treatment 
1,Jenny:  FVRCP Vaccine 1yr | Corneal Scratch  
1,Millie:  (Strongid) Pyrantel Pamoate 32oz -per oz | Heavy Breathing 
1,Millie:  Panacur Granules by the gram (222mg/g) # | Heavy Breathing 
1,Millie:  Nexgard 24-60lb Purple #5917 | Increased white blood cell count 
1,Guiness:  Pill Splitter | Coughing/Sneezing 
1,"Samantha:  Bravecto K9 Chew 9.9-22lb/4.5-10kg Sgl  | Cutaneous Ulcerated Mass, Otitis Bloodwork done today for surgery to remove mass"
1,"Samantha:  Add On HWAg ADD70 | Cutaneous Ulcerated Mass, Otitis Bloodwork done today for surgery to remove mass"
1,"Samantha:  PREPAID Fecal Test O&P T805 | Cutaneous Ulcerated Mass, Otitis Bloodwork done today for surgery to remove mass"
1,Taira:  Rabies Vaccine - 1 yr | left hind limping 
1,Taira:  DHPPL Vaccine  - 1 yr. | left hind limping 
1,Taira:  Bravecto Green 22-44# Chew | left hind limping 
1,Taira:  Sentinel Yellow 26-50 lbs - 1 tab | left hind limping 
1,Cyrus:  Rabies Vaccine 1yr Canine | Possible Rabies /Dead Pet 
1,Jezebelle:  TBF UA SA705 | Wellness Exam 
1,Jezebelle:  Bordetella Intranasal Vaccine 1yr | Wellness Exam 
1,Jezebelle:  US Guided Cystocentesis | Wellness Exam 
1,LUNA:  Fenbendazole (Panacur 100mg/ml) | VAGINAL INFECTION 
1,Sebastian:  Heartgard Plus Sm up to 25# per chew | Retest from Giardia 
1,Sebastian:  Canine Rabies Vacc1yr reminder | Retest from Giardia 
1,Sebastian:  Canine Distemper w/ Parvo #4 | Retest from Giardia 
1,Slate:  Fecal Comp. w/ Giardia and Antigens | Broken nail and ear infection 
1,"Finley :  Heartworm 4DX Plus , 6 month retest | Heartworm Positive "
1,Finley :  Baseline Radiographs / Xray  | Heartworm Positive 
1,Finley :  Iverhart Plus 0-25lbs 6 pack | Heartworm Positive 
1,Finley :  Prednisone 5 mg (per tablet) | Heartworm Positive 
1,Finley :  Antech Senior Wellness Profile | Heartworm Positive 
1,Gracie:  Leptospirosis Vaccine Annual | visit- check abrasion 
1,Gracie:  Bordetella Injection Booster Vaccination | visit- check abrasion 
1,Gracie:  Lyme Disease Annual Vaccination | visit- check abrasion 
1,Gobi:  NEXGARD 10-24# 6PK med DOG | Medications 
1,Gobi:  INTERCEPTOR PLUS 8-25LBS 6 pack | Medications 
1,Milo:  Leptospirosis Vacc: 1 of 2 | Scooting 
1,Milo:  K9 Flu Vacc Bivalent Nob 1of2 | Scooting 
1,Milo:  Medical Waste (Hazardous Disposal) | Scooting 
1,Milo:  Virbantel/ Drontal (puppy/kitten) 3 of 4 | Scooting 
1,Pablo:  DA2PP PUP FINAL: 12-16 Wks Booster | Vaccination and physical exam 
1,Pablo:  Lepto with other Vacc | Vaccination and physical exam 
1,Pablo:  Rabies Split/with other vacc | Vaccination and physical exam 
1,Hugo:  Simparica 44.1-88.0 lbs (green) | Peri-anal Infection 
1,"Harry:  Heartgard Plus Brown 51-100 lbs  6 mo | thyroid testing, recheck high white count, throid medication "
1,Bailey:  Fecal Flotation - Prepay | Ongoing management Allergies/pain management 
1,Special Agent 13:  Bordetella - Intranasal | wellness 
1,Special Agent 13:  Heartgard Plus 0 - 25 # 6-Pack | wellness 
1,Special Agent 13:  Simparica 11.5-22.0lbs SINGLE O | wellness 
1,Special Agent 13:  DHPP 3 year | wellness 
1,Marley:  Drontal Plus 68mg | Lumbar Hyperpathia 
1,Murphy:  Influenza H3N8/H3N2 Vaccine K9 2wk | Right ear erosion and mild yeast infection 
1,Murphy:  Borrelia (Lyme) Vaccine 1yr | Right ear erosion and mild yeast infection 
1,Lacey:  Trifexis 0140mg (05-10#) 6 Mo  | Dermatitis 
1,"Joey:  DHPP Annual - Canine | PU/PD urinalysis and wellness visit, heartworm/lyme test "
1,"Joey:  AC808 - O&P, Giardia w/ Accuplex | PU/PD urinalysis and wellness visit, heartworm/lyme test "
1,Pixie:  Bordetella Vir.(Intranasal) | Biannual/speical diet  
1,Pixie:  Ova + Parasites Sedimentation w/Giardia | Biannual/speical diet  
1,Stella:  NexGard Chewables 10.1-24 lbs (3) | BOOSTERS 
1,Stella:  Heartgard Plus  68 mcg 0-25 lbs SINGLE | BOOSTERS 
1,Stella:  DA2PP  third vaccine | BOOSTERS 
1,Stella:  Hazardous waste disposal fee | BOOSTERS 
1,Stella:  RABIES 1 YEAR VACCINATION | BOOSTERS 
1,Lilly:  DA2P-Pv  Vaccine 4wk | Puppy vaginitis / Ear infection  
1,Ellie:  Simparica 44.1-88.0 lbs (green) | bacterial pyoderma on nose 
1,Ellie:  Discount: Simparica 44.1-88.0 lbs (green) | bacterial pyoderma on nose 
1,Enzo:  IDEXX Fecal Panel (Comprehensive) | Exam with vaccines 
1,Enzo:  DA2PP PUPPY 2nd VACCINE | Exam with vaccines 
1,"MAGGIE:  RABIES CANINE 3 YEAR BOOSTER | rads, vacs, food  "
1,Olivia:  Heartgard Green 6 Tabs | PRE OP FOR TUMOR REMOVAL 
1,Olivia:  Bravecto Chews All Sizes  per pill  | PRE OP FOR TUMOR REMOVAL 
1,ASLAN :  DRONTAL PLUS LG DOG 68MG | Check Ears 
1,Gretta:  Bordetella Annual Canine Vaccine | Rash on Chest 
1,Gretta:  Fecal Ova and Parasites with Giardia* | Rash on Chest 
1,Gretta:  DHPPC/Lyme/Lepto Annual Canine Vaccines | Rash on Chest 
1,Gretta:  4DX Heartworm/Lyme/Ehrlichia/Anaplasma | Rash on Chest 
1,Gretta:  Rabies vaccine 1 year canine | Rash on Chest 
1,Dexter:  FVRCP (1 year) | WELLNESS EXAM & CHECK EYES 
1,Dexter:  Rabies Vaccination Feline - 1 year | WELLNESS EXAM & CHECK EYES 
1,"Dexter:  FELV, FIV, Heartworm - IH (In House) | WELLNESS EXAM & CHECK EYES "
1,Piper:  DAP 3yr Booster | wellness exam/vaccines 
1,Piper:  Rabies Canine 3 Year Booster | wellness exam/vaccines 
1,Piper:  Bordetella Oral - 1 Year | wellness exam/vaccines 
1,Sadie:  2. IDX Fecal Dx Profile w/ Giardia | OSTEOARTHRITIS 
1,Sadie:  Leptospirosis 1 Year | OSTEOARTHRITIS 
1,Slinky:  DAP 3yr Booster | wellness exam/vaccines 
1,Slinky:  SNAP 4DX (HW/E. Canis/Anap./Lyme) | wellness exam/vaccines 
1,Slinky:  Bordetella Oral - 1 Year | wellness exam/vaccines 
1,Houdini:  EDD Adult K9 (Accuplex AC CBC UA) AC607 | ear abrasion 
1,Houdini:  Leptospira 4Serovar Vaccine 1yr | ear abrasion 
1,Thunder:  Lyme Vaccine (1 year) | lump removal 
1,Thunder:  Leptospirosis Vaccine (1 year) | lump removal 
1,"Thunder:  Heartworm, Canine (In-house) | lump removal "
1,Rylee:  ComboGuard 40.1-60lb 12Pk DISPMED | diarrhea 
1,Josie:  Bravecto >22 to 44 lbs. #68996 | Mass removal 
1,APOLLO:  Dasuquin Adv LG 64Ct (60-120#) | COUGHING 
1,DECLAN:  K9 Influenza (H3N2) Vaccine 1 year  | yeast infection in both ears 
1,Ruth:  Interceptor Plus 50.1-100 lbs | Otitis externa bilateral 
1,Ruth:  NexGard 24.1-60# | Otitis externa bilateral 
1,Cotton:  Bordetella Injectable | Annual and joint supplement 
1,Cotton:  Rabies - Canine | Annual and joint supplement 
1,Cotton:  Lepto Vaccination | Annual and joint supplement 
1,Kodi Bear:  Leptospira 4Serovar Vaccine 4wk | Exam and vac 
1,"Bruno:  SNAP 4DX In House | Superficial Pyoderma superficial pyoderma, otitis externa AS"
1,"Bruno:  Heartgard Plus Green 26-50lbs 6 Pack | Superficial Pyoderma superficial pyoderma, otitis externa AS"
1,"Bruno:  Bravecto Green 22.1 - 44lbs | Superficial Pyoderma superficial pyoderma, otitis externa AS"
1,Lucy:  Bravecto Orange>4.5kg-10kg | ongoing check up 
1,Lucy:  Bordetella - Oral | ongoing check up 
1,Lucy:  Administration Fee | ongoing check up 
1,Lucy:  Administration Fee | ongoing check up 
1,Mitz:  Revolution Feline Blue | URINATING IN HOUSE 
1,Mitz:  Felv + Fiv  Combo Test - RAH | URINATING IN HOUSE 
1,Sadie Blu:  Intestinal Parasite Screen | Perivulvar dermatitis 
1,Coco:  Vaccinations | Limping 
1,Coco:  Revolution(<=2.5kg) Mauve | Limping 
1,Jax:  Simparica Chew Tab 22.1-44# | UTI 
1,Jax:  Sentinel 26-50# per tab | UTI 
1,Max:  Microchip-Homeagain w/ registr | Diarrhea 
1,Rowan:  PANACUR 51-75LB ( 3 PACKET) GROUP | Hookwarms 
1,Ovi:  Lyme Vaccine Annual | Broken Nail Continuing Issue 
1,Ovi:  Leptospirosis Vaccine Annual | Broken Nail Continuing Issue 
1,Ovi:  Occult Heartworm/Lyme/Ehrlichia/Anaplasmosis | Broken Nail Continuing Issue 
1,"Sassi':  NexGard 10.1-24 lbs 6 doses | Coughing, sneezing, not eating, ADR "
1,"Sassi':  Heartgard Plus Blue 0-25 lbs 6mos | Coughing, sneezing, not eating, ADR "
1,Indy:  Interceptor Plus 2-8lb/0.9-3.6kg Sgl Orange | Diarrhea/Vomitting 
1,Indy:  DA2P-Pv  Vaccine 1yr | Diarrhea/Vomitting 
1,Indy:  Rabies Vaccine 1yr Canine | Diarrhea/Vomitting 
1,MIKO:  Microchip Implantation/Registration | Neuter  
1,Bella:  RABIES CANINE 3 YEAR | loose stool small amounts of watery stool  not eating 
1,Charlie:  Bravecto K9 Chew 9.9-22lb/4.5-10kg Sgl D | eye 
1,Tito:  Bordetella Intranasal | check ears + annual 
1,Tito:  Leptospirosis Vaccine | check ears + annual 
1,Tito:  IN-CLINIC SNAP 4DX Plus | check ears + annual 
1,Blue:  Canine Hills DD Salmon 370 gm can | Hit by vehicle 
1,"BRODY:  INFLUENZA BIVAL YEARLY VACCINE | exam, vacs, food, chronic med & bloodwork for chronic med Apoquel Rx for allergies bloodwork for Apoquel refill"
1,"BRODY:  FECAL EXAM/INTESTINAL PARASITE | exam, vacs, food, chronic med & bloodwork for chronic med Apoquel Rx for allergies bloodwork for Apoquel refill"
1,"BRODY:  RABIES CANINE 3 YEAR BOOSTER | exam, vacs, food, chronic med & bloodwork for chronic med Apoquel Rx for allergies bloodwork for Apoquel refill"
1,Ozzy:  Fecal and Ova Plus Panel | limping 
1,Leroy:  Strongid T - 15 ml | Check eye 
1,Roxi:  Bravecto 40-56kg PINK | HotSpot 
1,Louie:  Heartgard Chewable Blue (up to 25lb)  | Annual 
1,Louie:  Heartworm Antigen Test - Antech (T615) | Annual 
1,Louie:  Fecal Comprehensive to Idexx | Annual 
1,Aksel:  K9 Advantix II Lrg (11-25kg) PER DOSE | allergies 
1,Angel:  Heartgard Plus K9 L 51-100lb/23-45kg 6Pk D | Limping 
1,"Winston:  Da2pp  Puppy Vaccination | Straining to urinate, follow up testing for coccidia "
1,"Winston:  Interceptor Plus 25.1 - 50 lb. Yellow | Straining to urinate, follow up testing for coccidia "
1,"Winston:  Canine Flu H3N2/H3N8 First | Straining to urinate, follow up testing for coccidia "
1,Mandy :  FeLV Vaccine 1yr | Skin 
1,Weston:  Interceptor Plus Green 5.75mg/57mg | Hip Pain 
1,Weston:  Rabies Vaccine - 3yr (Imrab3) | Hip Pain 
1,Teddy:  Fecal O&PCmb T808 1yr | Elevated liver enzymes for lab work and extractions for deciduous teeth 
1,Aksel:  K9 Advantix II (55) Large Dog - PER | allergies 
1,Havi:  Bravecto 4.5-9.9 lbs (Yellow) | Clomipramine 
1,Finn:  Bravecto K9 Blue 44.1-88lb | Pyoderma 
1,"Finn:  Bordetella /Parainfluenza ""Intranasal"" | Pyoderma "
1,Muffin:  Interceptor Plus 8.1-25lb/3.7-11.3kg 6pk  | Mass Bloodwork Bloodwork is to be continuation of another claim that was previously submitted at another clinic. Original issue was a mass as per the owner
1,Muffin:  Rabies Vaccine 3yr Canine | Mass Bloodwork Bloodwork is to be continuation of another claim that was previously submitted at another clinic. Original issue was a mass as per the owner
1,Muffin:  DA2P-Pv  Vaccine 3yr | Mass Bloodwork Bloodwork is to be continuation of another claim that was previously submitted at another clinic. Original issue was a mass as per the owner
1,Muffin:  Bordetella Intranasal Vaccine 1yr | Mass Bloodwork Bloodwork is to be continuation of another claim that was previously submitted at another clinic. Original issue was a mass as per the owner
1,Henry:  DA2P Triennial | Pruritus Cytopoint
1,Henry:  Rabies Canine: 3 year | Pruritus Cytopoint
1,Henry:  Rimadyl    Injectable 50 mg/ml (per cc) | Pruritus Cytopoint
1,Henry:  Leptospirosis Annual | Pruritus Cytopoint
1,Henry:  Bordetella ORAL | Pruritus Cytopoint
1,"Weezy:  LEPTOSPIRA VACCINE INITIAL | Cervical pain, inappetance "
1,"Emmy:  HomeAgain Microchip Service (Client only) | spay, microchip "
1,Marshmellow:  AccuPlex4 (HWAg Ehrlich Anapl Lyme)  | Skin Allergy 
1,Haley:  Bravecto 1000mg (44-88 lb)  | foreign nail 
1,"Samantha:  Fecal O&P T805 1yr | Cutaneous Ulcerated Mass Removal, Cyst Removal, Pariodontal Disease "
1,Snickers:  FVRCP Vaccine 3yr | Heart Murmur 
1,Beau:  Tapeworm Injection | Tapeworm Injection  
1,Beau:  Hazardous Waste Disposal/OSHA | Tapeworm Injection  
1,"Sadie:  DHPP 3 year vaccine | Annual exam, broken toe nail "
1,"Sadie:  Canine Rabies vaccine 3 year | Annual exam, broken toe nail "
1,Dakoda:  Gabapentin 50mg | pre meds for appointment  
1,Linus:  ComboGuard 60-120lb Sgl DISPMED | Pyoderma 
1,Lola:  FVRCP BOOSTER | Hypovitaminosis D Claim Ref. #2489507
1,Lola:  RABIES FELINE 3 YEAR | Hypovitaminosis D Claim Ref. #2489507
1,Lola:  FELV BOOSTER | Hypovitaminosis D Claim Ref. #2489507
1,Beauty:  Rabies Canine 3 Year Vaccination | Vaccine Reaction The items for this claim are what is below the Thank you For Visiting Line.
1,"Bear:  Simparica 44.1-88 lbs (6 months) | pre-anesthetic labwork, heartworm test "
1,"Bear:  ID) Lab 4DX Add-on (Day 180) | pre-anesthetic labwork, heartworm test "
1,Cooper:  Vanguard Plus 5 (DA2PP) | wellness services 
1,Cooper:  IH) In House 4DX | wellness services 
1,Cooper:  Blood Collection Fee | wellness services 
1,Cooper:  ID) Fecal O/P (Annual) | wellness services 
1,Cooper:  OSHA Disposal Fee | wellness services 
1,Cooper:  Sentinel Spectrum 50.1-100# Blue 6 mo | wellness services 
1,Cooper:  Simparica 44.1-88 lbs (6 months) | wellness services 
1,Peep:  Fecal Floatation Exam | increased liver values wellness and fecal are preventatives based on life stage. Everything else is diagnostic for increased liver values. Call with questions 9528848248.
1,Atlas:  Bordetella - Injectable 1yr | Suspect UTI 
1,Birdie:  Feline Dist(3yr) | Urinary Syndrome 
1,Elton:  Simparica 5.6 - 11lbs 6 pack | Eye discharge 
1,Cooper Max:  DA2PPV VACCINE | cytopoint 
1,Cooper Max:  LEPTOSPIROSIS VACCINE | cytopoint 
1,Cooper Max:  CIV H3N2/H3N8 COMBO - ANNUAL | cytopoint 
1,Cooper Max:  HEARTWORM 4Dx PLUS  (SNAP) | cytopoint 
1,Cooper Max:  BORDETELLA VACCINE (6 month) | cytopoint 
1,Cooper Max:  RABIES VACCINE 3 YEARS | cytopoint 
1,Cooper Max:  ANNUAL INTESTINAL PARASITE EXAM | cytopoint 
1,Hershey:  Nexgard Red 27.3-54.4kg | diarrhea 
1,Sofia:  Leptospirosis 1 Year Booster | R/O Hiatal Hernia Vs GERD 
1,Sofia:  Lyme Disease 1 year Booster | R/O Hiatal Hernia Vs GERD 
1,Summer:  Canine H3N2/ H3N8 Combo Flu 1 Year | Recheck Ears/ Annual  
1,Ragan:  DA2P-Pv  Vaccine 3yr | Check ears  Otitis -otomax dispensed. 
1,Ragan:  Borrelia (Lyme) Vaccine 1yr | Check ears  Otitis -otomax dispensed. 
1,Ragan:  Bordetella SC Vaccine 1yr | Check ears  Otitis -otomax dispensed. 
1,Ragan:  Rabies Vaccine 3yr Canine | Check ears  Otitis -otomax dispensed. 
1,Ragan:  Leptospira 4Serovar Vaccine 1yr | Check ears  Otitis -otomax dispensed. 
1,Zoe:  Heartgard Canine Brown 51-100lb Chewable | Bloodwork for Zonisamide 
1,Leela:  Leptospirosis Annual Vaccine | ate raisins  
1,Mya:  Revolution Blue | Not jumping - r/o Arthritits 
1,MOOMOO:  Trifexis Green 20.1-40# - Single Dose | Medication  
1,"Shyla:  DHLPPC  Booster & Annual Exam | Check Ears, Final Shots "
1,"Shyla:  Rabies, Canine Primary Shot | Check Ears, Final Shots "
1,"Shyla:  ITB (Kennel cough) vaccine | Check Ears, Final Shots "
1,Millie:  BBVA -Da2p Merial Distemper 3 yr | Allergies 
1,Millie:  BBVA - Lyme Annual Booster | Allergies 
1,Millie:  BBVA Snap Canine 4DX Plus | Allergies 
1,Millie:  BBVA - Rabies Canine 3 year | Allergies 
1,Riley Patrick:  Bravecto Pink 88-123# Chew | ear infection 
1,Ally:  Interceptor PLUS Green 3.7-11.3kg | Vomiting & Diarrhea 
1,Brody:  Ova Parasite/Giardia Test - 6 mo | allergies  
1,Layla:  Diphenhydramine Inj.(Benadryl) 50mg/ml | uti  
1,Layla:  Canine Flu Bivalent Booster | uti  
1,Layla:  Sentinel Green 11- 25lbs PER PILL  | uti  
1,Beauty:  Heartgard 30 Plus (12-22kg) (per tablet) | Vomiting 
1,Daffodill:  Canine Influenza Combo 1 yr | Infectious tracheobronchitis 
1,"Beatrice:  DA2P-Pv  Vaccine 3yr | physical exam, mild otitis  "
1,"Beatrice:  Rabies Vaccine 3yr Canine | physical exam, mild otitis  "
1,"Beatrice:  Influenza H3N8/H3N2 Vaccine K9 2wk | physical exam, mild otitis  "
1,"Damien:  AccuPlex4 (HWAg Ehrlich Anapl Lyme) AC100 | Bacterial Dermatitis, Allergic Otitis, interdigital dermatitis "
1,"Damien:  Bordetella A2P IN Vaccine 1yr | Bacterial Dermatitis, Allergic Otitis, interdigital dermatitis "
1,Roxy:  Intestinal Parasite Screening | Anal Gland Expression and Refill Apoquel 
1,Patty:  Bordetella Oral Vaccine 1yr | Mobility  
1,Patty:  DA2P-Pv 3yr 4L 1yr Vaccine | Mobility  
